KOD;NAZEV;SPRAVNI_OBEC_KOD;VUSC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
493;Horöovsk˝ T˝n;553671;43;02.03.2020 00:00:00;;01.01.2003 00:00:00
1007;Ho¯ice;572926;86;20.06.2018 00:00:00;;01.01.2003 00:00:00
60;Ho¯ovice;531189;27;02.06.2018 00:00:00;;01.01.2003 00:00:00
965;Hradec Kr·lovÈ;569810;86;12.12.2019 00:00:00;;01.01.2003 00:00:00
1970;Hranice;513750;124;03.12.2019 00:00:00;;01.01.2003 00:00:00
361;Humpolec;547999;108;09.03.2018 00:00:00;;01.01.2003 00:00:00
1392;HustopeËe;584495;116;19.11.2018 00:00:00;;01.01.2003 00:00:00
1325;IvanËice;583120;116;24.06.2016 00:00:00;;01.01.2003 00:00:00
779;Jablonec nad Nisou;563510;78;21.06.2016 00:00:00;;01.01.2003 00:00:00
1767;Jablunkov;598259;132;30.08.2016 00:00:00;;01.01.2003 00:00:00
1040;JaromÏ¯;574121;86;07.12.2018 00:00:00;;01.01.2003 00:00:00
2062;JesenÌk;536385;124;31.05.2016 00:00:00;;01.01.2003 00:00:00
1503;Jihlava;586846;108;21.11.2017 00:00:00;;01.01.2003 00:00:00
1139;Jilemnice;577197;78;27.10.2017 00:00:00;;01.01.2003 00:00:00
345;Jind¯ich˘v Hradec;545881;35;28.01.2020 00:00:00;;01.01.2003 00:00:00
1015;JiËÌn;572659;86;10.07.2019 00:00:00;;01.01.2003 00:00:00
761;KadaÚ;563102;60;11.11.2019 00:00:00;;01.01.2003 00:00:00
311;Kaplice;545562;35;30.07.2019 00:00:00;;01.01.2003 00:00:00
531;Karlovy Vary;554961;51;13.12.2019 00:00:00;;01.01.2003 00:00:00
1805;Karvin·;598917;132;29.05.2017 00:00:00;;01.01.2003 00:00:00
78;Kladno;532053;27;27.09.2017 00:00:00;;01.01.2003 00:00:00
566;Klatovy;555771;43;14.12.2017 00:00:00;;01.01.2003 00:00:00
94;KolÌn;533165;27;23.08.2019 00:00:00;;01.01.2003 00:00:00
1554;Konice;589624;124;14.11.2019 00:00:00;;01.01.2003 00:00:00
1856;Kop¯ivnice;599565;132;06.06.2015 00:00:00;;01.01.2003 00:00:00
1112;Kostelec nad OrlicÌ;576361;86;13.06.2019 00:00:00;;01.01.2003 00:00:00
639;Kralovice;559075;43;11.03.2020 00:00:00;;01.01.2003 00:00:00
132;Kralupy nad Vltavou;534951;27;28.06.2019 00:00:00;;01.01.2003 00:00:00
663;Kraslice;560472;51;26.07.2017 00:00:00;;01.01.2003 00:00:00
1937;Krava¯e;507580;132;17.01.2019 00:00:00;;01.01.2003 00:00:00
1724;Krnov;597520;132;25.05.2017 00:00:00;;01.01.2003 00:00:00
1546;KromÏ¯Ìû;588296;141;08.10.2019 00:00:00;;01.01.2003 00:00:00
1236;Kr·lÌky;580481;94;08.03.2019 00:00:00;;01.01.2003 00:00:00
116;Kutn· Hora;533955;27;23.08.2019 00:00:00;;01.01.2003 00:00:00
1333;Ku¯im;583251;116;17.03.2017 00:00:00;;01.01.2003 00:00:00
1481;Kyjov;586307;116;09.01.2020 00:00:00;;01.01.2003 00:00:00
1244;Lanökroun;580511;94;06.11.2019 00:00:00;;01.01.2003 00:00:00
817;Liberec;563889;78;03.08.2017 00:00:00;;01.01.2003 00:00:00
1988;LipnÌk nad BeËvou;514705;124;02.09.2019 00:00:00;;01.01.2003 00:00:00
1163;Litomyöl;578347;94;07.02.2017 00:00:00;;01.01.2003 00:00:00
825;LitomÏ¯ice;564567;60;14.10.2019 00:00:00;;01.01.2003 00:00:00
1881;Litovel;503444;124;13.06.2019 00:00:00;;01.01.2003 00:00:00
884;LitvÌnov;567256;60;01.09.2017 00:00:00;;01.01.2003 00:00:00
850;Louny;565971;60;21.01.2020 00:00:00;;01.01.2003 00:00:00
833;Lovosice;565229;60;20.09.2016 00:00:00;;01.01.2003 00:00:00
1422;LuhaËovice;585459;141;05.03.2019 00:00:00;;01.01.2003 00:00:00
183;Lys· nad Labem;537454;27;22.10.2019 00:00:00;;01.01.2003 00:00:00
523;Mari·nskÈ L·znÏ;554642;51;12.12.2019 00:00:00;;01.01.2003 00:00:00
1406;Mikulov;584649;116;06.06.2015 00:00:00;;01.01.2003 00:00:00
396;Milevsko;549576;35;05.12.2019 00:00:00;;01.01.2003 00:00:00
167;Mlad· Boleslav;535419;27;06.12.2018 00:00:00;;01.01.2003 00:00:00
175;Mnichovo HradiötÏ;536326;27;10.04.2017 00:00:00;;01.01.2003 00:00:00
2003;Mohelnice;540471;124;10.12.2019 00:00:00;;01.01.2003 00:00:00
1171;Moravsk· T¯ebov·;578444;94;10.12.2019 00:00:00;;01.01.2003 00:00:00
1571;MoravskÈ BudÏjovice;591181;108;26.04.2019 00:00:00;;01.01.2003 00:00:00
1651;Moravsk˝ Krumlov;594482;116;13.06.2019 00:00:00;;01.01.2003 00:00:00
892;Most;567027;60;21.12.2015 00:00:00;;01.01.2003 00:00:00
141;MÏlnÌk;534676;27;06.12.2018 00:00:00;;01.01.2003 00:00:00
604;Nepomuk;558109;43;14.12.2017 00:00:00;;01.01.2003 00:00:00
159;Neratovice;535087;27;04.03.2019 00:00:00;;01.01.2003 00:00:00
1023;Nov· Paka;573248;86;01.07.2016 00:00:00;;01.01.2003 00:00:00
1686;NovÈ MÏsto na MoravÏ;596230;108;28.11.2018 00:00:00;;01.01.2003 00:00:00
1058;NovÈ MÏsto nad MetujÌ;574279;86;06.06.2015 00:00:00;;01.01.2003 00:00:00
701;Nov˝ Bor;561860;78;12.09.2019 00:00:00;;01.01.2003 00:00:00
973;Nov˝ Bydûov;570508;86;03.01.2020 00:00:00;;01.01.2003 00:00:00
1864;Nov˝ JiËÌn;599191;132;02.03.2016 00:00:00;;01.01.2003 00:00:00
191;Nymburk;537004;27;10.07.2019 00:00:00;;01.01.2003 00:00:00
1066;N·chod;573868;86;18.01.2019 00:00:00;;01.01.2003 00:00:00
1589;N·mÏöù nad Oslavou;591211;108;30.11.2018 00:00:00;;01.01.2003 00:00:00
647;N˝¯any;559300;43;11.03.2020 00:00:00;;01.01.2003 00:00:00
1872;Odry;599701;132;03.12.2019 00:00:00;;01.01.2003 00:00:00
1899;Olomouc;500496;124;02.09.2019 00:00:00;;01.01.2003 00:00:00
1945;Opava;505927;132;17.01.2019 00:00:00;;01.01.2003 00:00:00
1813;Orlov·;599069;132;29.05.2017 00:00:00;;01.01.2003 00:00:00
1961;Ostrava;554821;132;01.06.2018 00:00:00;;01.01.2003 00:00:00
540;Ostrov;555428;51;20.12.2018 00:00:00;;01.01.2003 00:00:00
1431;Otrokovice;585599;141;01.11.2019 00:00:00;;01.01.2003 00:00:00
370;Pacov;548511;108;03.06.2018 00:00:00;;01.01.2003 00:00:00
1082;Pardubice;555134;94;28.11.2019 00:00:00;;01.01.2003 00:00:00
388;Pelh¯imov;547492;108;01.10.2019 00:00:00;;01.01.2003 00:00:00
582;PlzeÚ;554791;43;05.02.2020 00:00:00;;01.01.2003 00:00:00
868;Podbo¯any;566616;60;13.12.2019 00:00:00;;01.01.2003 00:00:00
205;PodÏbrady;537683;27;03.01.2020 00:00:00;;01.01.2003 00:00:00
1414;Poho¯elice;584801;116;06.06.2015 00:00:00;;01.01.2003 00:00:00
1180;PoliËka;578576;94;30.11.2015 00:00:00;;01.01.2003 00:00:00
418;Prachatice;550094;35;13.02.2020 00:00:00;;01.01.2003 00:00:00
1562;ProstÏjov;589250;124;04.12.2019 00:00:00;;01.01.2003 00:00:00
400;PÌsek;549240;35;26.02.2020 00:00:00;;01.01.2003 00:00:00
1091;P¯elouË;575500;94;28.11.2019 00:00:00;;01.01.2003 00:00:00
1996;P¯erov;511382;124;15.02.2019 00:00:00;;01.01.2003 00:00:00
612;P¯eötice;558249;43;03.02.2020 00:00:00;;01.01.2003 00:00:00
256;P¯Ìbram;539911;27;21.01.2019 00:00:00;;01.01.2003 00:00:00
272;RakovnÌk;541656;27;17.12.2019 00:00:00;;01.01.2003 00:00:00
655;Rokycany;559717;43;29.03.2017 00:00:00;;01.01.2003 00:00:00
1341;Rosice;583782;116;05.11.2019 00:00:00;;01.01.2003 00:00:00
841;Roudnice nad Labem;565555;60;14.10.2019 00:00:00;;01.01.2003 00:00:00
2038;Roûnov pod RadhoötÏm;544841;141;29.11.2017 00:00:00;;01.01.2003 00:00:00
736;Rumburk;562777;60;04.09.2019 00:00:00;;01.01.2003 00:00:00
1121;Rychnov nad KnÏûnou;576069;86;13.06.2019 00:00:00;;01.01.2003 00:00:00
1732;R˝ma¯ov;597783;132;20.03.2019 00:00:00;;01.01.2003 00:00:00
264;SedlËany;541281;27;16.01.2020 00:00:00;;01.01.2003 00:00:00
1147;Semily;576964;78;20.07.2018 00:00:00;;01.01.2003 00:00:00
86;Slan˝;532819;27;28.06.2019 00:00:00;;01.01.2003 00:00:00
1635;Slavkov u Brna;593583;116;07.06.2017 00:00:00;;01.01.2003 00:00:00
469;SobÏslav;553131;35;09.01.2020 00:00:00;;01.01.2003 00:00:00
671;Sokolov;560286;51;26.07.2017 00:00:00;;01.01.2003 00:00:00
621;Stod;558389;43;03.02.2020 00:00:00;;01.01.2003 00:00:00
442;Strakonice;550787;35;26.02.2020 00:00:00;;01.01.2003 00:00:00
680;St¯Ìbro;561215;43;01.06.2018 00:00:00;;01.01.2003 00:00:00
574;Suöice;557153;43;15.10.2019 00:00:00;;01.01.2003 00:00:00
1198;Svitavy;577731;94;30.05.2017 00:00:00;;01.01.2003 00:00:00
957;SvÏtl· nad S·zavou;569569;108;04.07.2017 00:00:00;;01.01.2003 00:00:00
698;Tachov;560715;43;02.03.2020 00:00:00;;01.01.2003 00:00:00
787;Tanvald;563820;78;24.01.2018 00:00:00;;01.01.2003 00:00:00
1511;TelË;588024;108;21.11.2017 00:00:00;;01.01.2003 00:00:00
914;Teplice;567442;60;27.08.2019 00:00:00;;01.01.2003 00:00:00
1350;Tiönov;584002;116;24.01.2020 00:00:00;;01.01.2003 00:00:00
281;TrhovÈ Sviny;545171;35;30.07.2019 00:00:00;;01.01.2003 00:00:00
1210;Trutnov;579025;86;18.01.2019 00:00:00;;01.01.2003 00:00:00
1155;Turnov;577626;78;20.07.2018 00:00:00;;01.01.2003 00:00:00
477;T·bor;552046;35;05.12.2019 00:00:00;;01.01.2003 00:00:00
353;T¯eboÚ;547336;35;09.01.2020 00:00:00;;01.01.2003 00:00:00
1597;T¯ebÌË;590266;108;15.12.2017 00:00:00;;01.01.2003 00:00:00
1775;T¯inec;598810;132;24.01.2020 00:00:00;;01.01.2003 00:00:00
299;T˝n nad Vltavou;545201;35;05.12.2019 00:00:00;;01.01.2003 00:00:00
1601;UherskÈ HradiötÏ;592005;141;01.11.2019 00:00:00;;01.01.2003 00:00:00
1619;Uhersk˝ Brod;592731;141;02.06.2018 00:00:00;;01.01.2003 00:00:00
1902;UniËov;505587;124;13.06.2019 00:00:00;;01.01.2003 00:00:00
1449;ValaöskÈ Klobouky;585891;141;05.03.2019 00:00:00;;01.01.2003 00:00:00
2046;ValaöskÈ Mezi¯ÌËÌ;545058;141;31.07.2018 00:00:00;;01.01.2003 00:00:00
744;Varnsdorf;562882;60;06.03.2019 00:00:00;;01.01.2003 00:00:00
1694;VelkÈ Mezi¯ÌËÌ;597007;108;30.11.2018 00:00:00;;01.01.2003 00:00:00
1490;VeselÌ nad Moravou;586722;116;02.06.2018 00:00:00;;01.01.2003 00:00:00
426;Vimperk;550647;35;31.01.2020 00:00:00;;01.01.2003 00:00:00
1457;Vizovice;585939;141;08.11.2018 00:00:00;;01.01.2003 00:00:00
35;Vlaöim;530883;27;31.10.2018 00:00:00;;01.01.2003 00:00:00
451;VodÚany;551953;35;25.09.2019 00:00:00;;01.01.2003 00:00:00
43;Votice;530905;27;31.12.2019 00:00:00;;01.01.2003 00:00:00
1228;VrchlabÌ;579858;86;03.06.2018 00:00:00;;01.01.2003 00:00:00
2054;VsetÌn;541630;141;17.09.2018 00:00:00;;01.01.2003 00:00:00
1252;VysokÈ M˝to;581186;94;06.09.2017 00:00:00;;01.01.2003 00:00:00
1643;Vyökov;592889;116;04.12.2019 00:00:00;;01.01.2003 00:00:00
1953;VÌtkov;511021;132;03.12.2019 00:00:00;;01.01.2003 00:00:00
1465;ZlÌn;585068;141;08.11.2018 00:00:00;;01.01.2003 00:00:00
1660;Znojmo;593711;116;13.06.2019 00:00:00;;01.01.2003 00:00:00
2011;Z·b¯eh;541354;124;10.12.2019 00:00:00;;01.01.2003 00:00:00
1368;älapanice;583952;116;07.12.2017 00:00:00;;01.01.2003 00:00:00
1911;äternberk;505188;124;10.04.2018 00:00:00;;01.01.2003 00:00:00
2020;äumperk;523704;124;20.03.2019 00:00:00;;01.01.2003 00:00:00
1261;éamberk;581259;94;08.08.2019 00:00:00;;01.01.2003 00:00:00
876;éatec;566985;60;21.01.2020 00:00:00;;01.01.2003 00:00:00
795;éelezn˝ Brod;563871;78;24.01.2018 00:00:00;;01.01.2003 00:00:00
1376;éidlochovice;584282;116;27.09.2017 00:00:00;;01.01.2003 00:00:00
1708;éÔ·r nad S·zavou;595209;108;10.01.2019 00:00:00;;01.01.2003 00:00:00
230;»ernoöice;539139;27;09.01.2020 00:00:00;;01.01.2003 00:00:00
710;»esk· LÌpa;561380;78;12.09.2019 00:00:00;;01.01.2003 00:00:00
1279;»esk· T¯ebov·;580031;94;31.05.2016 00:00:00;;01.01.2003 00:00:00
302;»eskÈ BudÏjovice;544256;35;15.07.2019 00:00:00;;01.01.2003 00:00:00
108;»esk˝ Brod;533271;27;22.10.2019 00:00:00;;01.01.2003 00:00:00
329;»esk˝ Krumlov;545392;35;13.02.2020 00:00:00;;01.01.2003 00:00:00
1821;»esk˝ TÏöÌn;598933;132;24.01.2020 00:00:00;;01.01.2003 00:00:00
124;»·slav;534005;27;03.02.2017 00:00:00;;01.01.2003 00:00:00
221;ÿÌËany;538728;27;01.03.2016 00:00:00;;01.01.2003 00:00:00
922;⁄stÌ nad Labem;554804;60;09.09.2019 00:00:00;;01.01.2003 00:00:00
1287;⁄stÌ nad OrlicÌ;579891;94;08.08.2019 00:00:00;;01.01.2003 00:00:00
